کشتی,سرگشته 0.5
پیرهن,گردد 0.5
گردد,کسی 0.1111111111111111
ور,دمی 0.25
دربانم,آرزوست 1.0
چنانم,کرد 1.0
به,هم 0.011904761904761904
آن,را 0.015151515151515152
طبیبیم,ز 1.0
تاجری,آغاز 1.0
حیوان,بهلند 0.5
<s>,دوش 0.003436426116838488
بر,درد 0.020833333333333332
پنداری,نداری 1.0
اند,مغزها 0.3333333333333333
<s>,غلطم 0.003436426116838488
فروشد,به 1.0
مرا,گر 0.0625
مکن,ای 0.1
چه,دانی 0.02040816326530612
سنبله,کوبیم 1.0
غم,زد 0.09090909090909091
افتخار,گوشه 1.0
شما,</s> 0.5
با,صبر 0.058823529411764705
بر,خاکی 0.020833333333333332
نحن,اقربم 1.0
مژه,سیاهت 1.0
به,یزدان 0.011904761904761904
تا,کی 0.05
عالم,فنا 0.5
بابست,</s> 1.0
سماست,</s> 1.0
مرا,بیهده 0.0625
چشیده,ام 1.0
ریزد,تیز 1.0
را,رندی 0.012345679012345678
<s>,هله 0.006872852233676976
دستم,خداوندا 1.0
میان,صخره 0.14285714285714285
بیخود,و 1.0
مریمی,</s> 1.0
پیداست,بر 1.0
جان,که 0.03333333333333333
تو,غم 0.01098901098901099
همراز,خود 1.0
علت,آگه 1.0
نسیمش,حامله 1.0
دلم,چه 0.5
که,راز 0.007142857142857143
زبان,بد 0.2
غلط,یوسفی 0.3333333333333333
دام,کن 0.3333333333333333
نی,می 0.5
خیال,او 0.25
عشق,کبریا 0.05
چرا,مشورت 0.1111111111111111
پریشان,را 0.3333333333333333
<s>,قصد 0.003436426116838488
فردا,تویی 0.5
جهان,فرخ 0.1111111111111111
گلم,باری 1.0
همه,مرغان 0.125
عیاری,کند 1.0
افسانه,را 0.5
سال,هاست 0.3333333333333333
دو,جهان 0.1111111111111111
که,سخت 0.007142857142857143
به,ملکی 0.011904761904761904
نباشد,بر 0.25
جمع,الله 0.14285714285714285
<s>,هستی 0.003436426116838488
خوشت,به 1.0
چرا,</s> 0.3333333333333333
باشد,کرم 0.1111111111111111
پریشان,چه 0.3333333333333333
روح,کی 0.16666666666666666
بود,ره 0.03225806451612903
او,کان 0.02857142857142857
و,پی 0.007194244604316547
کانتظار,یار 1.0
<s>,کارم 0.003436426116838488
و,ناز 0.007194244604316547
ز,فلک 0.017543859649122806
سرو,و 1.0
نه,طماع 0.07142857142857142
چه,یاد 0.02040816326530612
جام,هستی 0.5
نه,امامی 0.07142857142857142
چه,بادا 0.02040816326530612
پر,از 0.3333333333333333
عقل,کل 0.125
عشقم,و 0.5
و,غلط 0.007194244604316547
چه,داند 0.02040816326530612
گردون,ز 0.5
بیابانم,آرزوست 1.0
انوار,برآمد 1.0
می,کشانندت 0.038461538461538464
میان,چه 0.14285714285714285
تصورهای,روحانی 1.0
صنما,گریان 1.0
کشیده,ام 0.3333333333333333
درنگر,که 1.0
من,در 0.03125
بیرون,آی 0.5
تعجیل,می 1.0
کی,شمس 0.14285714285714285
که,برو 0.007142857142857143
خود,درنگر 0.0625
بسی,علتیان 0.25
بسا,منصور 0.5
<s>,دریغ 0.003436426116838488
الهام,امر 1.0
آن,عهدشکن 0.015151515151515152
بازارها,</s> 1.0
رهی,داری 0.5
<s>,بگریخت 0.003436426116838488
رقص,کنان 0.25
جان,این 0.03333333333333333
منعم,آخر 1.0
<s>,هم 0.003436426116838488
چه,رهیدیم 0.02040816326530612
از,مجلس 0.010752688172043012
ای,شیدا 0.023809523809523808
گر,بگویی 0.0625
به,خدا 0.011904761904761904
و,بزم 0.007194244604316547
نظر,ره 0.5
چو,سنگ 0.03333333333333333
کاین,سابقه 0.3333333333333333
ناشسته,شیطان 1.0
مرا,جان 0.125
وز,سجده 0.125
برآید,ز 0.3333333333333333
ها,زان 0.0625
معلوم,آمد 0.5
بر,آورد 0.020833333333333332
<s>,مشوی 0.003436426116838488
کاره,می 0.5
خشکست,دریای 0.5
وی,شد 0.2
بگویی,از 1.0
که,تو 0.02142857142857143
نثار,بحر 0.25
باقیش,نادیده 0.5
زمن,از 1.0
نو,آمد 0.5
دم,خود 0.09090909090909091
پنهان,که 0.5
وصال,که 0.5
را,همی 0.012345679012345678
حیوان,تیره 0.5
عارضت,خاصه 1.0
از,آهن 0.010752688172043012
و,مکان 0.014388489208633094
که,تا 0.02857142857142857
خواب,بود 1.0
کاین,دار 0.3333333333333333
شیر,است 0.3333333333333333
چگونه,گندمی 1.0
چه,روزی 0.02040816326530612
نما,</s> 1.0
آمد,ز 0.058823529411764705
فلک,های 0.2
هستی,تو 0.5
دم,بی 0.09090909090909091
خواجه,صاحب 0.125
کرم,قبله 0.3333333333333333
ز,جمعی 0.017543859649122806
جهان,را 0.1111111111111111
مکن,نگارا 0.1
نبود,جان 0.3333333333333333
بدی,من 1.0
که,مرا 0.014285714285714285
صبری,قیامت 1.0
مطر,خندیدن 1.0
چه,عجب 0.02040816326530612
نشود,شرح 0.5
حاضران,نهان 1.0
خواهی,بدن 0.5
<s>,عشق 0.003436426116838488
من,مست 0.015625
<s>,هر 0.020618556701030927
نقش,ها 0.25
هزار,کند 0.16666666666666666
قدر,که 1.0
سخنی,گو، 1.0
پرفتنه,کو 1.0
دریغ,و 0.25
باد,من 0.08333333333333333
آن,گوهر 0.015151515151515152
بازده,اندیشه 1.0
چونید,ما 1.0
روشن,کو 0.5
پی,تعلیم 0.2
عرب,وار 1.0
ویل,لکل 1.0
جز,حق 0.16666666666666666
دست,او 0.3333333333333333
کنون,واقف 0.25
از,بند 0.010752688172043012
سیاهت,ار 1.0
علم,درون 0.5
از,جهد 0.010752688172043012
دوا,مدهید 0.5
اهل,این 0.5
خورشید,سپارید 0.16666666666666666
شه,نگر 0.3333333333333333
آتش,اندر 0.16666666666666666
جور,دوران 0.3333333333333333
منات,</s> 1.0
این,سیاه 0.027777777777777776
موسی,است 1.0
تانی,و 1.0
وانگه,از 0.5
چنین,غازیان 0.3333333333333333
بس,تند 0.25
<s>,صد 0.003436426116838488
گردان,دل 1.0
و,نشد 0.014388489208633094
تمام,هم 1.0
چون,خرمنی 0.043478260869565216
غره,ای 1.0
برترین,کشدا 1.0
زخم,چنین 0.3333333333333333
فخار,برآمد 1.0
یاری,داشتیم 0.5
<s>,سکندر 0.003436426116838488
یوم,النوی 1.0
مه,انوار 0.3333333333333333
که,جور 0.007142857142857143
سر,او 0.047619047619047616
به,یارکان 0.011904761904761904
شطرنج,روان 1.0
اول,به 1.0
نگریزم,که 1.0
ازیرا,ناله 1.0
صبح,و 0.5
بر,پای 0.020833333333333332
نگهدارید,هین 1.0
دیو,و 0.5
خوان,جودت 1.0
می,زدیم 0.019230769230769232
شده,جمع 0.3333333333333333
نکرد,روی 1.0
پرشکن,وه 1.0
گوید,شش 0.07692307692307693
گریبان,جان 1.0
کن,مکن 0.09090909090909091
در,شیراز 0.014705882352941176
کبریا,</s> 1.0
خانه,باش 0.14285714285714285
گوی,بیان 1.0
بر,آستان 0.020833333333333332
جفا,مکن 1.0
خا,</s> 1.0
چه,زهره 0.02040816326530612
الله,عیننا، 0.5
جا,قبا 0.07142857142857142
بی,شمس 0.045454545454545456
خلوت,سینه 1.0
ام,دل 0.125
قدم,دارد 0.5
چه,ما 0.02040816326530612
مجلس,افسانه 0.3333333333333333
فسوس,گفت 1.0
یاد,من 0.3333333333333333
<s>,پس 0.003436426116838488
هله,چون 0.16666666666666666
محصول,دعا 1.0
شرا,</s> 1.0
بر,خیالی 0.020833333333333332
در,بگشا 0.014705882352941176
مستان,میان 0.25
عشق,که 0.05
<s>,نادر 0.003436426116838488
خامی,بی 1.0
تنگ,زندان 0.5
ماند,به 0.5
غم,نیست 0.09090909090909091
است,اگر 0.045454545454545456
رسن,رسن 0.5
شایم,</s> 1.0
پنهان,ز 0.5
دهد,که 0.3333333333333333
روان,مردود 0.2
آید,او 0.08333333333333333
زند,من 0.2
نیکی,وز 1.0
می,کنی 0.057692307692307696
که,اینک 0.007142857142857143
است,کهگل 0.045454545454545456
غم,تو 0.18181818181818182
نوشد,شود 0.3333333333333333
حسن,ایزدست 0.25
تقوا,ما 1.0
جمله,زبان 0.2
خون,افتاده 0.09090909090909091
اندر,بهار 0.2
سر,رفت 0.047619047619047616
اندر,شرا 0.2
بیست,سال 1.0
خضری,</s> 1.0
بی,زبان 0.045454545454545456
آتشان,</s> 1.0
رود,این 0.5
را,که 0.024691358024691357
<s>,کفی 0.006872852233676976
الله,بیننا 0.5
درون,خندانم 0.3333333333333333
را,نپایم 0.012345679012345678
که,می 0.03571428571428571
والله,که 1.0
جان,ما 0.03333333333333333
بر,دارها 0.020833333333333332
دمی,مدرسه 0.2
مکن،,که 1.0
رسوا,</s> 1.0
او,وز 0.05714285714285714
المننی,</s> 1.0
و,بیابانم 0.007194244604316547
تو,بکش 0.01098901098901099
است,گویم 0.045454545454545456
بیرون,راه 0.5
<s>,زهی 0.003436426116838488
مرغان,چه 1.0
که,ما 0.02142857142857143
و,نی 0.007194244604316547
بکش,هم 1.0
آن,نیکو 0.015151515151515152
باش,</s> 0.3333333333333333
بر,سماست 0.020833333333333332
کن,بنگر 0.09090909090909091
وی,وان 0.2
تا,درافتی 0.05
در,دماغ 0.014705882352941176
جوش,ما 0.3333333333333333
تو,وارستم 0.01098901098901099
کام,دل 0.3333333333333333
شمس,دین 0.3333333333333333
لامع,و 1.0
پای,تو 0.3333333333333333
رخ,آن 0.5
می,برم 0.019230769230769232
درازدستی,</s> 1.0
آفتابت,</s> 1.0
خامش,به 0.5
خون,ما 0.09090909090909091
یاسمن,و 1.0
پس,چرا 0.3333333333333333
این,ماخولیا 0.027777777777777776
حال,تو 0.16666666666666666
لطف,های 0.5
برون,از 0.25
نگر,که 0.5
دل,پیداست 0.034482758620689655
بپرسم,از 1.0
دان,است 0.5
در,طریق 0.014705882352941176
تاج,سلطنت 1.0
دل,نهادم 0.034482758620689655
همگی,پوستم 1.0
شبم,از 1.0
خون,من 0.09090909090909091
زین,تنگ 0.2
ز,آتشان 0.017543859649122806
گویمش,بشر 1.0
نور,سهیل 0.14285714285714285
مگو,وداع 0.3333333333333333
را,تا 0.012345679012345678
عجب,گر 0.3333333333333333
اند,پران 0.3333333333333333
روزست,شبم 1.0
کند,تقلیب 0.047619047619047616
سرمست,بی 0.5
خویش,قارون 0.125
گوییم,من 1.0
بی,پشیمانی 0.045454545454545456
کند,تعجیل 0.047619047619047616
باشد,دغا 0.1111111111111111
چون,نور 0.043478260869565216
بر,تو 0.020833333333333332
چه,کنم 0.02040816326530612
می,شکند 0.019230769230769232
از,باد 0.010752688172043012
که,من 0.02142857142857143
جا,کشم 0.07142857142857142
از,او 0.021505376344086023
بر,تن 0.020833333333333332
من,از 0.0625
بعد,بیست 1.0
گه,به 0.5
ده,تو 0.3333333333333333
گویی,روز 0.3333333333333333
دهن,من 1.0
چه,می 0.02040816326530612
روی,باید 0.07142857142857142
بر,امیدت 0.020833333333333332
بقا,</s> 1.0
ببستی,چشم 0.5
سال,دید 0.3333333333333333
او,این 0.02857142857142857
دوغ,دیو 1.0
خانه,اوست 0.14285714285714285
خم,داده 0.5
همه,خوبی 0.125
آغاز,کرد 1.0
ناله,و 0.3333333333333333
ملاحت,ز 0.5
تو,شود 0.01098901098901099
<s>,آنک 0.003436426116838488
برآیم,به 1.0
در,پیراهنش 0.014705882352941176
که,گور 0.007142857142857143
مگو,دیگر 0.3333333333333333
اش,کردم 1.0
ره,روی 0.4
آن,بی 0.015151515151515152
آسمان,را 0.25
است,پرآتش 0.045454545454545456
دیده,سیر 0.1111111111111111
گدایی,بر 0.3333333333333333
را,گنجا 0.012345679012345678
جهان,چون 0.2222222222222222
هر,که 0.0967741935483871
برو,و 0.16666666666666666
<s>,سخندانی 0.003436426116838488
نبودی,ز 1.0
جنون,ماند 1.0
یا,تدبیر 0.14285714285714285
دین,تو 0.25
ز,لوح 0.017543859649122806
بود,عین 0.03225806451612903
نزل,و 1.0
داری,به 0.25
و,سر 0.007194244604316547
مگوی,لب 1.0
خدا,را 0.25
ای,مست 0.023809523809523808
گیر,همه 0.5
زندان,ها 1.0
بشمرده,که 1.0
هر,قطره 0.03225806451612903
خوف,و 1.0
غلطم,گر 1.0
یا,شکل 0.14285714285714285
یوسف,کنعان 0.16666666666666666
یوسف,خیال 0.16666666666666666
کوه,و 1.0
ترک,منبرها 0.14285714285714285
شو,از 1.0
که,گویم 0.007142857142857143
ساقی,دلا 0.14285714285714285
بسیار,کردم 0.2
و,کین 0.007194244604316547
سخنسرای,تو 1.0
خاک,و 0.2
چرخ,بگذری 0.3333333333333333
کردی,چرا 0.5
جدا,شد 0.25
سر,منبر 0.047619047619047616
بی,زنبور 0.045454545454545456
آیت,افسونگری 1.0
چرا,خندد 0.1111111111111111
گشت,گرد 1.0
شرح,آن 0.5
نظر,می 0.5
پیشش,نه 1.0
جا,جای 0.07142857142857142
قدمی,بر 1.0
چنانش,بیخود 1.0
<s>,ایا 0.003436426116838488
خوش,کلام 0.14285714285714285
آب,گشته 0.16666666666666666
خم,سهل 0.5
انبار,کهن 0.3333333333333333
طاقت,جفای 1.0
در,عشق 0.014705882352941176
رهی,است 0.5
خصال,</s> 1.0
<s>,باشد 0.003436426116838488
بی,غمی 0.045454545454545456
دیگر,اندازیم 0.5
گر,رفتم 0.0625
دل,به 0.034482758620689655
بسیار,گفتم 0.2
دارم,اگر 0.25
لمتر,چرا 1.0
<s>,این 0.006872852233676976
به,وثاق 0.011904761904761904
شش,جهت 1.0
ز,یار 0.017543859649122806
گوشه,تاج 0.3333333333333333
زر,می 0.25
چون,دگران 0.043478260869565216
در,غم 0.014705882352941176
حالت,مستان 0.5
شد,خضر 0.045454545454545456
مستان,رو 0.25
گلبانگ,سربلندی 1.0
کف,که 0.16666666666666666
جا,روی 0.14285714285714285
کرم,سینه 0.3333333333333333
او,همی 0.02857142857142857
چاشت,بیایید 1.0
آتش,بلای 0.16666666666666666
میخانه,دوش 0.5
زدن,این 1.0
واقفم,من 0.5
گیرد,آهو 0.5
آنک,نظامی 0.3333333333333333
بحر,جدا 0.2
موطنهای,خویش 1.0
چه,دلاویز 0.02040816326530612
سخن,داری 0.3333333333333333
و,غبغب 0.007194244604316547
مرا,طاقت 0.0625
نیست,اگر 0.07692307692307693
شکنج,گیسویت 1.0
ارکانم,آرزوست 1.0
نظران,</s> 1.0
سلطنت,می 1.0
همزه,بهر 1.0
ژاژخا,</s> 1.0
کلید,خزینه 1.0
فخرشان,و 1.0
عشق,درآید 0.05
زد,چشمک 0.16666666666666666
از,من 0.021505376344086023
گشته,روان 0.2
باد,دهم 0.08333333333333333
من,تا 0.015625
راه,چون 0.2
آمد,کفی 0.058823529411764705
و,میلاد 0.007194244604316547
غم,عشق 0.09090909090909091
دل,آن 0.034482758620689655
در,جمال 0.014705882352941176
ز,درون 0.017543859649122806
تو,جام 0.01098901098901099
فلکت,نیز 1.0
است,مرا 0.13636363636363635
تا,نشکنی 0.05
جان,نو 0.03333333333333333
تبش,بسیار 1.0
پی,کجاست 0.2
ست,او 0.1111111111111111
محقر,است 1.0
چهره,از 0.5
دولت,چو 0.5
چاه,می 0.5
هر,زمان 0.03225806451612903
سینه,پرغل 0.25
نسلم,</s> 0.3333333333333333
بلبل,چه 0.5
نروی,از 1.0
حق,کرد 0.25
همچو,سحر 0.25
آن,دهان 0.015151515151515152
دیگرست,امروز 1.0
مرا,وقتی 0.0625
آمد,دگر 0.058823529411764705
رخت,را 1.0
سلیم,که 0.5
برگ,اسپر 0.3333333333333333
که,حق 0.007142857142857143
چیست,جان 0.25
بی,تو 0.045454545454545456
و,کفن 0.007194244604316547
نبخشی,تو 1.0
بگو,خسته 0.3333333333333333
من,تو 0.015625
جفای,تو 1.0
خویش,فرورفته 0.125
باد,دهد 0.08333333333333333
کشته,غمزه 1.0
از,ما 0.021505376344086023
شه,کلید 0.3333333333333333
تبریز,ار 0.3333333333333333
تقصیر,بود 1.0
مجنون,دل 1.0
حافظ,ای 0.058823529411764705
که,چه 0.007142857142857143
بیار,آن 1.0
تسلیم,و 1.0
گشته,دو 0.2
لا,نسلم 1.0
و,زر 0.014388489208633094
را,نه 0.012345679012345678
نو,یابد 0.5
از,می 0.010752688172043012
دریغ,آن 0.25
کن,حرف 0.09090909090909091
فلک,را 0.2
رود,و 0.5
قمر,می 1.0
لبم,از 1.0
سر,بنهد 0.047619047619047616
لعلی,گزیده 0.5
امتنانی,طائر 1.0
در,فتی 0.014705882352941176
<s>,بیخود 0.003436426116838488
همچو,سپند 0.25
جگر,دارد 0.5
هله,تو 0.16666666666666666
معمورم,</s> 1.0
همچون,خاک 0.5
ماخولیا,منتظر 1.0
ها,بر 0.125
به,همت 0.011904761904761904
<s>,گفتند 0.003436426116838488
شرابت,هین 1.0
و,خارا 0.007194244604316547
تو,هر 0.01098901098901099
و,رجا 0.007194244604316547
<s>,دستار 0.003436426116838488
جمالت,غافلم 0.5
کز,این 0.125
مرا,از 0.0625
چو,رازها 0.03333333333333333
سرگشته,که 1.0
ما,به 0.06896551724137931
همچو,عقل 0.25
مه,سیه 0.3333333333333333
واقف,و 0.5
زان,سو 0.2
<s>,ساقیا 0.003436426116838488
ما,مدزد 0.034482758620689655
ما,بت 0.034482758620689655
من,وحشی 0.015625
به,میدان 0.011904761904761904
بغداد,رسیدیم 0.5
باغ,عارض 0.5
ستم,از 1.0
زمان,عشق 0.5
هر,کس 0.03225806451612903
دو,دیده 0.2222222222222222
الحق,تبریزی 1.0
قصد,کنی 0.5
باشیم,</s> 0.75
مگر,خفته 0.5
موی,را 1.0
تنها,دمی 1.0
چه,چاره 0.02040816326530612
مستان,به 0.25
تو,سحرگاه 0.01098901098901099
معلوم,آیدت 0.5
خندانی,بدو 1.0
بشد,از 1.0
ای,به 0.023809523809523808
گوید,خوشم 0.07692307692307693
کند,</s> 0.42857142857142855
آخر,نشان 0.2
غلام,بود 0.5
مگری,و 1.0
رنگت,لیک 1.0
خانه,پرخون 0.14285714285714285
شد,حافظ 0.045454545454545456
بیچاره,وار 1.0
مهتاب,هر 1.0
از,جمع 0.010752688172043012
<s>,والله 0.003436426116838488
خبر,همیان 0.3333333333333333
نغز,گیر 1.0
چه,رو 0.02040816326530612
باطنش,گشته 0.5
حافظ,که 0.11764705882352941
کنی,مکن 0.42857142857142855
در,سخن 0.014705882352941176
ز,کشتیهاش 0.017543859649122806
باغ,ها 0.5
کاری,تو 1.0
کجا,گوید 0.5
آن,خانه 0.015151515151515152
استسقا,</s> 1.0
نیست,که 0.07692307692307693
هر,آرزو 0.03225806451612903
ملولی,نبود 1.0
نای,و 1.0
بگذاری,ای 1.0
تو,را 0.06593406593406594
گوید,صلا 0.07692307692307693
خود,جمله 0.0625
لورکند,شاعران 1.0
ز,انبار 0.017543859649122806
داند,ز 0.25
و,منزل 0.007194244604316547
از,جذب 0.010752688172043012
جان,آید 0.03333333333333333
خوشی,بی 0.5
زمان,کی 0.5
<s>,کنون 0.006872852233676976
که,معشوق 0.007142857142857143
باران,آن 0.5
منشین,منتظر 1.0
تو,از 0.01098901098901099
رسید,مژده 0.5
ز,چون 0.017543859649122806
نظام,بود 1.0
نظیر,آنک 1.0
غربت,همی 1.0
گون,شد 1.0
عین,تجهیل 1.0
آتش,آمد 0.16666666666666666
در,نشود 0.014705882352941176
این,میدان 0.027777777777777776
چشم,پرنیرنگ 0.16666666666666666
که,چون 0.02142857142857143
چرخ,او 0.3333333333333333
مغزها,چو 1.0
آورد,و 1.0
هر,یکی 0.03225806451612903
شکر,می 0.3333333333333333
ای,بنمایدت 0.023809523809523808
روز,که 0.25
کند,سیاهی 0.047619047619047616
ببیند,حال 1.0
<s>,چنان 0.006872852233676976
پا,</s> 1.0
<s>,دلا 0.003436426116838488
جز,در 0.16666666666666666
را,هزار 0.012345679012345678
پوید,</s> 1.0
صد,غلام 0.2
شاه,جهان 0.25
او,نه 0.02857142857142857
<s>,لعلی 0.003436426116838488
جمع,کن 0.14285714285714285
کان,طره 0.1
گردد,</s> 0.5555555555555556
کرد,مکن 0.09090909090909091
آن,در 0.030303030303030304
به,شه 0.011904761904761904
من,مگری 0.015625
سوراخ,مار 0.5
سیب,اگر 0.5
دانه,که 0.2
کین,تو 1.0
گل,تو 0.1
چهره,را 0.5
بنفشه,پرشکن 0.5
کن,شکر 0.09090909090909091
اگر,اکنون 0.07692307692307693
حال,افتاد 0.16666666666666666
حلقه,اوراد 1.0
دغا,</s> 1.0
عقل,گوید 0.125
چنان,پیر 0.2
می,کشم 0.019230769230769232
پوشی,درون 1.0
خرما,</s> 1.0
شراب,لعل 0.5
شرح,این 0.5
بدنی,</s> 1.0
<s>,آتش 0.003436426116838488
نبخشد,کام 1.0
کند,سزاست 0.047619047619047616
چو,زر 0.03333333333333333
تا,هر 0.05
اولی,</s> 1.0
چه,صبح 0.02040816326530612
ها,پخته 0.0625
گفتن,او 1.0
پس,نور 0.3333333333333333
ملاقات,بی 1.0
ترس,چیست 1.0
دوست,به 0.25
آن,دل 0.015151515151515152
که,سبب 0.014285714285714285
با,درد 0.058823529411764705
بگیرد,ز 1.0
تبریز,رشک 0.3333333333333333
تا,این 0.05
زهره,دارد 0.25
و,کنار 0.007194244604316547
شب,یلداست 0.25
امامی,تو 1.0
در,ره 0.029411764705882353
رام,و 1.0
جهان,جان 0.1111111111111111
از,سر 0.06451612903225806
مشهور,بود 1.0
پنداشتیم,</s> 1.0
هرچه,گویی 1.0
صد,نامه 0.2
در,این 0.08823529411764706
اندیشه,چو 0.2
را,آفتی 0.012345679012345678
که,در 0.04285714285714286
تو,بگذاری 0.01098901098901099
بر,فلک 0.020833333333333332
داری,که 0.25
نار,کند 0.3333333333333333
آگهی,ز 1.0
<s>,چونک 0.003436426116838488
<s>,بیار 0.003436426116838488
بلای,تو 1.0
کان,لکلک 0.1
کش,مطبخ 0.5
جان,هر 0.06666666666666667
می,پوید 0.019230769230769232
مرده,جان 1.0
زلفت,شکست 1.0
ای,گشتی 0.023809523809523808
خاطر,کاین 1.0
را,به 0.06172839506172839
امروز,که 0.1111111111111111
مدهید,</s> 0.6666666666666666
بها,بین 1.0
وار,برآمد 0.5
<s>,دولت 0.003436426116838488
پی,ارکانم 0.2
برون,رو 0.25
این,آتش 0.027777777777777776
دد,ملولم 1.0
خوش,تیغ 0.14285714285714285
با,چراغ 0.058823529411764705
زنان,رقص 1.0
چونک,در 0.5
چند,که 0.3333333333333333
ها,رهی 0.0625
سحر,خندیدن 0.3333333333333333
پرسیم,و 1.0
روح,موطنهای 0.16666666666666666
شمس,الدین 0.1111111111111111
روا,توانی 0.5
عرش,مجید 1.0
غرامت,</s> 1.0
دو,جان 0.1111111111111111
در,چاپلوسی 0.014705882352941176
است,تا 0.045454545454545456
ور,نه 0.25
بشو,رو 1.0
دارها,</s> 1.0
پریشانی,</s> 1.0
دم,یزدان 0.09090909090909091
را,بر 0.037037037037037035
چشم,دل 0.16666666666666666
بازاری,بدید 1.0
شهی,آمد 1.0
<s>,رفیق 0.003436426116838488
رجا,برای 1.0
دلا,کی 0.3333333333333333
دل,چه 0.034482758620689655
تیره,شده 0.3333333333333333
جگر,شوی 0.5
و,امین 0.007194244604316547
و,هنر 0.007194244604316547
ست,عجب 0.1111111111111111
چندین,خنب 0.5
<s>,صحبت 0.003436426116838488
کنار,آمد 0.3333333333333333
صلصل,فخار 1.0
پایندان,وی 1.0
بشر,می 1.0
کس,مزد 0.2
زنبور,بود 1.0
ز,نسیم 0.017543859649122806
و,باز 0.007194244604316547
خیالش,را 1.0
مهر,و 1.0
کبر,آرد 1.0
بندگان,فکن، 1.0
کف,بهای 0.16666666666666666
ما,در 0.034482758620689655
وان,کز 0.2
ترک,حبوب 0.14285714285714285
برد,بینا 1.0
قطره,ای 0.3333333333333333
تا,پای 0.05
و,شهد 0.007194244604316547
از,فراق 0.010752688172043012
چرا,کاسه 0.1111111111111111
عیب,کافر 1.0
گر,سر 0.0625
<s>,مکن 0.003436426116838488
شد،,فلکت 1.0
ای,بسا 0.047619047619047616
<s>,نگویم 0.003436426116838488
عطای,تو 1.0
جهان,سرد 0.1111111111111111
تبریزی,هر 0.3333333333333333
خیالات,نماند 1.0
شهر,کز 0.3333333333333333
<s>,دم‏به‏دم 0.003436426116838488
چون,پیر 0.043478260869565216
جویی,چه 1.0
بهار,حسنش 0.3333333333333333
اهوی,الهوا 1.0
بیا,رویی 0.6666666666666666
باده,آمد 0.5
خوش,مشو 0.14285714285714285
دهید,من 0.5
من,نزل 0.015625
تنگ,گل 0.5
غافلم,باری 1.0
شد,</s> 0.2727272727272727
از,علت 0.010752688172043012
زان,دیار 0.2
آن,مه 0.015151515151515152
شیر,خون 0.3333333333333333
غلط,بود 0.3333333333333333
دردی,بپر 1.0
کلام,شد 1.0
خداوندا,اگر 1.0
مشرق,پیاله 1.0
جوش,از 0.3333333333333333
دهان,گنده 0.25
من,فوق 0.015625
گفت,زبان 0.16666666666666666
گفتم,ناسزا 0.3333333333333333
دام,خیالت 0.3333333333333333
چاره,با 1.0
شود,کارت 0.05263157894736842
ما,دم 0.034482758620689655
که,از 0.02857142857142857
<s>,برای 0.006872852233676976
نه,خوابست 0.07142857142857142
جان,نیامیزد 0.03333333333333333
به,دینت 0.011904761904761904
ز,جهان 0.017543859649122806
و,ملولی 0.007194244604316547
و,بینبوید 0.007194244604316547
یار,او 0.16666666666666666
<s>,جانم 0.003436426116838488
یک,شب 0.09090909090909091
جدا,نیست 0.25
های,هر 0.2
دزدیده,سوی 1.0
جوی,گنج 0.5
خویش,</s> 0.125
او,را 0.05714285714285714
ابتدا,</s> 1.0
سوختگانیم,که 1.0
کس,که 0.4
بپرد,روح 1.0
تیز,می 0.5
این,بار 0.027777777777777776
مژگانت,خون 1.0
صورت,های 0.5
دارم,آخر 0.25
چهی,تو 1.0
<s>,زان 0.003436426116838488
اگر,تقصیر 0.07692307692307693
در,تو 0.014705882352941176
خدا,</s> 0.25
حریفان,را 0.5
تا,برون 0.05
چه,خیالت 0.02040816326530612
بدیدی,آنست 1.0
میانه,لا 1.0
فریب,او 1.0
حالت,گل 0.5
تو,کرد 0.01098901098901099
است,چون 0.045454545454545456
طالب,کند 1.0
تا,شکر 0.05
ناز,و 0.5
تو,من 0.01098901098901099
کو,قصر 0.1111111111111111
حدیث,بی 1.0
مخموران,ساقی 1.0
نثار,بود 0.25
شیراز,بیا 1.0
دستان,ازیرا 1.0
جمله,ست 0.2
حیلت,از 1.0
چشمه,ای 1.0
خرامی,نفرستاد 1.0
ز,کس 0.017543859649122806
قصر,خلیفه 1.0
آن,سال 0.015151515151515152
شمس,تبریزی 0.2222222222222222
کار,دارم 0.16666666666666666
نیست,این 0.07692307692307693
جانب,هیچ 0.3333333333333333
کلاه,و 1.0
بستان,بر 0.5
چه,خواهد 0.02040816326530612
به,قول 0.011904761904761904
شد,دلفروز 0.045454545454545456
واله,و 1.0
بدن,گر 1.0
اندر,کنار 0.2
تو,روشنترست 0.01098901098901099
صبر,و 1.0
که,بتوانی 0.007142857142857143
خشک,اند 1.0
یک,بار 0.09090909090909091
من,با 0.015625
شیدا,کند 0.5
شد,مرغ 0.045454545454545456
بنهد,ترک 1.0
ست,چه 0.1111111111111111
گلرخیش,به 1.0
دمی,الهام 0.2
<s>,یک 0.006872852233676976
سوی,گل 0.1111111111111111
از,آن 0.06451612903225806
زخم,تیغ 0.3333333333333333
وقتی,دلی 1.0
هماز,را 1.0
تو,اقرار 0.01098901098901099
که,امسال 0.007142857142857143
ست,وان 0.1111111111111111
درافتی,دریغ 0.5
باد,بهاران 0.08333333333333333
شناسان,را 1.0
امین,کشدا 0.5
این,کار 0.027777777777777776
شمس,الحق 0.1111111111111111
و,مجنون 0.007194244604316547
همه,خشک 0.125
